Respiratory activity;$d = 0.8 \mu m$;$d = 1.8 \mu m$;$d = 3.5 \mu m$;$d = 5.5 \mu m$;$d = 20 \mu m$;$d = 100 \mu m$
breathing;$0.084 * 10^6$;$0.009  * 10^6$;$0.003  * 10^6$;$0.002 * 10^6$;$0$;$0$
talking;$0.236  * 10^6$;$0.068  * 10^6$;$0.007  * 10^6$;$0.011  * 10^6$;$0$;$0$
talking loud;$0.751  * 10^6$;$0.139  * 10^6$;$0.139  * 10^6$;$0.059  * 10^6$;$0$;$0$
coughing;$0$;$0.025  * 10^6$;$0.145  * 10^6$;$0.48  * 10^6$;$2.51  * 10^6$;$6.65  * 10^6$
sneezing;$0$;$13  * 10^6$;$80  * 10^6$;$175  * 10^6$;$230  * 10^6$;$489  * 10^6$
